run,duration_s,cpu_energy_J,energy_consumed_J
1,9.996127,278.49024,543.86784
2,10.072172,283.32864,547.37136
3,10.084683,281.96316,553.89708
4,10.041284,279.46044,546.69852
5,10.016965,279.23832,545.54148
6,10.067496,281.30184,553.37544
7,9.9675,282.72996,549.4626
8,10.042013,279.93024,539.86824
9,10.022551,277.27632,541.08756
10,10.072599,280.66572,549.07884
11,10.011901,279.405,545.15988
12,10.043098,281.00772,543.43584
13,10.046822,280.08684,543.59172
14,10.040779,278.92728,547.40304
15,9.983108,277.22232,544.87476
16,9.973594,276.68772,546.62508
17,10.113519,281.20284,559.5588
18,10.035344,279.16344,544.24944
19,10.030905,278.17992,545.74992
20,10.029232,278.86068,537.13944
21,9.97912,275.95476,540.48492
22,9.993952,278.3628,541.11204
23,10.002307,277.33212,539.18964
24,10.074584,280.15416,543.06864
25,10.006031,278.33616,543.67524
26,10.053586,279.92916,542.40012
27,10.023778,276.91848,548.17596
28,10.041126,280.42668,537.70536
29,10.081074,281.08656,549.2178
mean,10.032664,279.43550069,545.27815862
std,-,1.82880501,4.94864374

metric,cpu_energy,total_energy
pct_reduction,17.1516,17.0852
mann_whitney_p,0.0,0.0
h2_rejected,True,True
