duration_s,cpu_energy_kWh,energy_consumed_kWh
10.098293,7.95878e-05,0.0001536436
9.996016,7.74488e-05,0.0001503855
10.108321,7.91172e-05,0.0001551923
10.054635,7.82375e-05,0.0001526053
10.017248,7.71908e-05,0.0001518017
10.078529,7.76544e-05,0.0001502888
10.086269,7.90979e-05,0.0001524019
10.03669,7.73405e-05,0.0001524356
10.105542,7.90757e-05,0.0001570059
10.078719,7.80812e-05,0.0001537504
10.123002,7.84234e-05,0.0001527054
10.009644,7.78497e-05,0.0001509622
10.093331,7.83911e-05,0.0001528191
10.011333,7.71279e-05,0.0001522492
10.090628,7.79682e-05,0.0001512565
10.101427,7.7688e-05,0.0001545637
10.038696,7.66695e-05,0.0001509542
10.046532,7.71868e-05,0.0001509399
10.108604,7.83e-05,0.0001521114
10.085783,7.76408e-05,0.0001518479
10.03106,7.69255e-05,0.0001498853
10.054303,7.72645e-05,0.0001512205
10.09356,7.73624e-05,0.000151072
10.018962,7.70369e-05,0.000149186
10.106978,7.86987e-05,0.0001560902
10.120199,7.7668e-05,0.0001536339
10.04606,7.73015e-05,0.0001498022
10.060706,7.65041e-05,0.0001490587
10.061126,7.74251e-05,0.0001487235
10.030344,7.76463e-05,0.0001518571
