duration_s,cpu_energy_kWh,energy_consumed_kWh
10.074699,7.93814e-05,0.0001516464
10.004228,7.78508e-05,0.0001495243
10.047392,7.78781e-05,0.0001535984
9.970424,7.73051e-05,0.0001517173
9.980331,7.76621e-05,0.0001509626
9.93518,7.70315e-05,0.0001492446
10.026989,7.77986e-05,0.0001504796
9.960875,7.75379e-05,0.0001514362
10.033764,7.77995e-05,0.0001507637
9.973483,7.72763e-05,0.0001507149
10.010026,7.81494e-05,0.0001530195
9.957218,7.7486e-05,0.0001494014
9.970375,7.72807e-05,0.0001504418
10.010135,7.75501e-05,0.0001495756
10.012699,7.77118e-05,0.0001518298
9.960093,7.72877e-05,0.0001507106
9.991039,7.72275e-05,0.0001507424
9.968772,7.63211e-05,0.0001496002
10.029207,7.79788e-05,0.0001526953
10.007806,7.6981e-05,0.000150645
9.938198,7.73094e-05,0.0001509644
9.920994,7.61974e-05,0.0001508955
10.009327,7.80345e-05,0.0001514912
10.010004,7.79744e-05,0.0001521763
9.973393,7.6869e-05,0.0001507173
9.97681,7.75233e-05,0.0001506902
9.927421,7.62146e-05,0.0001499972
9.931171,7.6462e-05,0.0001512601
10.042497,7.72432e-05,0.0001509176
9.951591,7.69899e-05,0.0001509274
