duration_s,cpu_energy_kWh,energy_consumed_kWh
11.895083,9.37821e-05,0.0001808098
11.843288,9.25815e-05,0.0001793552
11.871254,9.20688e-05,0.0001785217
11.860482,9.29289e-05,0.0001808178
11.924625,9.26892e-05,0.0001787789
11.901467,9.32842e-05,0.0001802293
11.845553,9.26918e-05,0.0001787766
11.835949,9.20692e-05,0.0001797664
11.842963,9.208e-05,0.0001797026
11.913037,9.27892e-05,0.0001814106
11.816073,9.18859e-05,0.00018013
11.847512,9.21256e-05,0.000178774
11.935065,9.22869e-05,0.0001800387
11.87475,9.1635e-05,0.0001792581
11.841946,9.15031e-05,0.000179127
11.920865,9.28692e-05,0.0001821051
11.947497,9.25951e-05,0.000179828
11.894939,9.24051e-05,0.0001783236
11.866388,9.1844e-05,0.0001776257
11.891624,9.27196e-05,0.00017867
11.889303,9.20252e-05,0.0001801298
11.860797,9.22218e-05,0.0001783509
11.88224,9.25872e-05,0.0001802985
11.929504,9.28381e-05,0.0001803578
11.876845,9.2049e-05,0.0001790298
11.886504,9.21375e-05,0.0001806587
11.878027,9.21265e-05,0.0001791489
11.883529,9.19681e-05,0.0001787839
11.916651,9.1476e-05,0.0001761954
11.910634,9.19724e-05,0.0001791819
