run,duration_s,cpu_energy_J,energy_consumed_J
1,11.895083,337.61556,650.91528
2,11.843288,333.2934,645.67872
3,11.871254,331.44768,642.67812
4,11.860482,334.54404,650.94408
5,11.924625,333.68112,643.60404
6,11.901467,335.82312,648.82548
7,11.845553,333.69048,643.59576
8,11.835949,331.44912,647.15904
9,11.842963,331.488,646.92936
10,11.913037,334.04112,653.07816
11,11.816073,330.78924,648.468
12,11.847512,331.65216,643.5864
13,11.935065,332.23284,648.13932
14,11.87475,329.886,645.32916
15,11.841946,329.41116,644.8572
16,11.920865,334.32912,655.57836
17,11.947497,333.34236,647.3808
18,11.894939,332.65836,641.96496
19,11.866388,330.6384,639.45252
20,11.891624,333.79056,643.212
21,11.889303,331.29072,648.46728
22,11.860797,331.99848,642.06324
23,11.88224,333.31392,649.0746
24,11.929504,334.21716,649.28808
25,11.876845,331.3764,644.50728
26,11.886504,331.695,650.37132
27,11.878027,331.6554,644.93604
28,11.883529,331.08516,643.62204
29,11.916651,329.3136,634.30344
30,11.910634,331.10064,645.05484
mean,11.882813,332.428344,646.102164
std,-,1.87223874,4.22530068

metric,cpu_energy,total_energy
pct_reduction,1.44,1.7539
mann_whitney_p,0.0,0.0
h2_rejected,True,True
