duration_s,cpu_energy_kWh,energy_consumed_kWh
11.857827,9.29795e-05,0.0001801684
11.926211,9.38437e-05,0.0001809446
11.853895,9.23192e-05,0.0001770141
12.019241,9.37993e-05,0.0001822816
12.03251,9.45593e-05,0.0001811895
11.839067,9.2005e-05,0.0001790062
11.884719,9.31107e-05,0.0001794179
12.07506,9.38453e-05,0.0001830315
12.157821,9.463e-05,0.0001838712
12.006229,9.33518e-05,0.0001821116
11.937352,9.2759e-05,0.0001798359
12.084072,9.40783e-05,0.0001847513
11.887374,9.2226e-05,0.0001791431
12.017,9.40737e-05,0.0001814416
11.886574,9.20815e-05,0.0001794574
11.871815,9.19437e-05,0.0001787583
11.904326,9.25575e-05,0.000178021
12.007842,9.30524e-05,0.0001820484
11.853397,9.21495e-05,0.0001772602
12.031422,9.39165e-05,0.0001829593
11.83996,9.19206e-05,0.0001789898
11.92432,9.27373e-05,0.0001795906
11.920247,9.28914e-05,0.0001801675
11.875653,9.17088e-05,0.0001778411
11.91429,9.23491e-05,0.0001807539
11.961085,9.28353e-05,0.0001800031
11.924695,9.28925e-05,0.0001812124
11.869159,9.16965e-05,0.0001802564
11.844627,9.09602e-05,0.0001782967
12.03273,9.22553e-05,0.0001795199
