run,duration_s,cpu_energy_J,energy_consumed_J
1,11.857827,334.7262,648.60624
2,11.926211,337.83732,651.40056
3,11.853895,332.34912,637.25076
4,12.019241,337.67748,656.21376
5,12.03251,340.41348,652.2822
6,11.839067,331.218,644.42232
7,11.884719,335.19852,645.90444
8,12.07506,337.84308,658.9134
9,12.157821,340.668,661.93632
10,12.006229,336.06648,655.60176
11,11.937352,333.9324,647.40924
12,12.084072,338.68188,665.10468
13,11.887374,332.0136,644.91516
14,12.017,338.66532,653.18976
15,11.886574,331.4934,646.04664
16,11.871815,330.99732,643.52988
17,11.904326,333.207,640.8756
18,12.007842,334.98864,655.37424
19,11.853397,331.7382,638.13672
20,12.031422,338.0994,658.65348
21,11.83996,330.91416,644.36328
22,11.92432,333.85428,646.52616
23,11.920247,334.40904,648.603
24,11.875653,330.15168,640.22796
25,11.91429,332.45676,650.71404
26,11.961085,334.20708,648.01116
27,11.924695,334.413,652.36464
28,11.869159,330.1074,648.92304
29,11.844627,327.45672,641.86812
30,12.03273,332.11908,646.27164
mean,11.941351,334.263468,649.12134
std,-,3.3130451,6.89068638

metric,cpu_energy,total_energy
pct_reduction,0.8959,1.2948
mann_whitney_p,0.000236,8e-06
h2_rejected,True,True
