run,duration_s,cpu_energy_J,energy_consumed_J
1,11.99331,336.99996,650.08044
2,11.981764,334.82952,642.96252
3,12.004372,335.82816,642.1176
4,11.945227,330.87744,650.16828
5,11.980563,336.65148,653.75532
6,11.950905,333.20808,642.84624
7,11.953759,333.39348,644.50584
8,12.016742,334.58256,650.50668
9,11.981241,336.09024,646.74576
10,12.001426,335.00988,651.42468
11,12.006001,334.40076,655.7292
12,11.997461,338.71212,658.37052
13,11.903104,332.99856,652.98852
14,12.082994,339.11748,660.0024
15,11.997734,337.15764,659.82168
16,12.070351,336.81384,660.95028
17,11.977562,336.27168,651.58344
18,11.968109,333.97272,651.5694
19,11.97666,334.4454,651.8682
20,12.101039,338.21424,658.63188
21,11.926487,334.67328,649.09332
22,11.929831,335.82636,651.99816
23,11.961437,335.781,653.47164
24,11.944507,336.82932,650.934
25,11.988917,334.74744,653.82156
26,11.991379,335.24316,650.20464
27,11.998798,335.02212,655.36092
28,11.974245,333.47736,649.45584
29,11.916187,335.59164,648.90072
30,11.960333,332.01396,646.95744
mean,11.982748,335.292696,651.560904
std,-,1.87388419,5.01735156

metric,cpu_energy,total_energy
pct_reduction,0.5908,0.9239
mann_whitney_p,0.000249,0.000134
h2_rejected,True,True
