branch,mean_duration_s,mean_cpu_energy_J,std_cpu_energy_J,mean_total_energy_J,std_total_energy_J,pct_reduction_cpu,pct_reduction_total,p_cpu,p_total,h2_rejected_cpu,h2_rejected_total
baseline,12.098915,333.448692,3.53484873,712.849416,23.49703588,,,,,,
changes_1,11.692576,321.38364375,45.38330692,683.12246625,96.62948154,3.6183,4.1702,0.002587,0.013747,True,True
changes_2,10.165262,282.642648,18.7616856,603.739932,27.91143119,15.2365,15.3061,0.0,0.0,True,True
changes_3,12.090763,333.007092,3.04503333,705.746304,18.39267956,0.1324,0.9964,0.299845,0.145236,False,False
changes_1_2,9.848527,271.20381677,34.6229125,582.3458129,73.58166541,18.667,18.3073,0.0,0.0,True,True
changes_1_3,12.015833,334.015188,21.31598743,703.8318,32.44171967,-0.1699,1.265,0.000685,0.009184,True,True
changes_2_3,10.143778,278.93148,2.47275494,599.570676,18.61288603,16.3495,15.891,0.0,0.0,True,True
changes_1_2_3,10.062804,276.865884,3.84691053,592.344672,19.84164421,16.969,16.9047,0.0,0.0,True,True
